file,column,ordinal,onset,offset,code01,notesep,notesed,notesck,notesnm,notesap,notesaw,noteshh,notestm
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ParticipationFormat,1,0,216082,u,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ParticipationFormat,2,216082,245239,w,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ParticipationFormat,3,245239,448050,s,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ParticipationFormat,4,448050,539369,w,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ParticipationFormat,5,539369,598982,s,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ParticipationFormat,6,598982,616351,w,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ParticipationFormat,7,616351,1119770,s,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ParticipationFormat,8,1119770,1667726,w,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ParticipationFormat,9,1667726,2177842,s,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ParticipationFormat,10,2177843,2258220,w,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ParticipationFormat,11,2258221,2708859,s,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ParticipationFormat,12,2708860,3058717,u,,,,,,,,
